Price,Living Area,Bathrooms,Bedrooms,Lot Size,Age,Fireplace
131165,1564,2.0,3,0.24,13,0
104749,1852,1.0,4,0.1,147,0
193565,2350,2.5,3,0.3,15,1
140701,1554,2.0,2,0.53,20,1
329221,2934,2.5,3,0.66,9,1
156530,1734,2.5,4,0.39,29,1
156679,1911,1.5,4,0.43,35,1
220261,2712,2.5,4,0.5,1,0
229055,2500,2.5,4,0.5,0,1
161473,1560,1.0,2,2.0,43,1
114519,1428,2.0,3,0.16,85,0
65325,813,1.0,2,0.39,68,0
84291,924,1.0,3,0.91,15,0
121680,1412,1.5,3,0.35,103,0
50483,743,1.0,3,0.05,105,0
104328,898,1.0,2,0.61,57,1
161562,2044,2.5,3,0.37,16,1
127394,2040,2.5,5,0.07,127,0
103408,1034,1.5,2,0.21,14,1
228806,2577,2.5,4,0.29,0,1
82556,1480,1.5,3,0.1,14,1
175874,2195,2.0,3,0.45,1,1
200793,1940,2.0,3,0.85,9,0
93895,960,1.0,3,0.26,48,0
104984,1096,1.0,3,0.3,67,0
271578,3123,2.5,4,0.49,14,1
237716,2996,2.5,4,0.35,1,1
88092,3944,1.0,4,1.64,185,1
125562,1253,1.5,2,0.21,16,1
100938,1034,1.5,3,0.16,15,0
132311,1512,1.5,3,0.25,13,1
152786,1508,2.0,3,0.36,20,1
118468,1298,1.0,3,0.17,44,1
91672,929,1.5,2,0.17,21,0
55851,990,1.5,2,0.08,75,0
169407,2310,2.5,4,0.47,33,1
173794,1970,2.5,4,0.59,18,1
102530,1202,1.5,2,0.15,18,0
135820,1475,2.0,3,0.46,20,1
217797,1386,1.5,2,0.23,92,0
133612,1768,1.5,4,0.37,48,1
172016,1547,2.0,3,0.72,11,0
197350,2500,3.5,4,0.21,1,1
90354,912,1.5,2,0.16,16,0
90446,1200,2.0,3,0.56,10,0
91386,1120,1.0,3,0.11,14,0
174940,1126,2.0,3,0.22,46,1
113514,1142,2.0,2,0.76,40,1
92932,988,2.0,2,0.15,19,0
244124,2346,2.5,4,0.35,0,1
182068,2035,2.5,4,0.43,35,1
126311,1471,2.5,3,0.08,4,0
119875,1512,1.5,4,1.0,61,1
109577,1456,1.5,3,0.15,155,0
202157,2564,2.5,4,0.59,30,1
109042,880,1.0,3,0.34,56,0
207751,2628,2.5,3,1.0,20,1
196603,2064,2.5,4,0.84,3,1
92436,1300,1.0,3,1.08,10,0
99463,912,1.0,3,0.26,31,0
177452,2402,2.5,4,0.47,28,1
134171,2133,1.5,4,0.28,34,1
87588,1392,1.0,2,0.24,17,0
147425,1582,1.5,3,0.35,11,0
217868,3344,3.5,4,0.36,1,1
184515,1472,1.5,4,0.7,3,1
47630,1235,1.0,3,0.32,84,1
244443,2810,2.5,4,0.74,14,1
94584,924,1.0,2,0.17,19,1
133067,1326,2.0,4,0.46,7,0
129609,1635,1.5,4,0.28,52,0
163102,1552,1.5,3,0.46,9,1
178767,2291,2.5,4,0.1,0,1
125361,1326,1.5,2,0.06,19,1
104651,912,1.5,2,0.17,19,1
197581,1702,1.5,3,0.61,16,1
106524,1148,1.0,3,0.35,7,0
114827,1332,1.0,3,0.02,45,1
84333,2043,1.5,4,0.32,94,1
368396,3358,3.5,4,0.58,9,1
166888,1740,1.5,3,0.46,26,0
104371,1463,1.5,3,0.42,125,0
122796,1612,1.0,3,0.29,34,1
87852,976,2.0,2,0.31,23,0
124939,1099,1.0,2,0.39,9,0
156820,1720,2.0,3,3.8,27,1
235105,2299,2.5,4,0.8,6,1
62105,1228,1.0,2,0.31,53,0
104412,1480,1.5,2,0.17,15,1
107306,1276,2.0,3,4.67,29,0
154238,1984,2.5,2,0.27,11,0
210743,2120,2.5,3,0.54,10,0
182056,2396,2.5,4,0.27,28,1
136192,1623,1.5,4,0.44,36,1
75606,912,1.5,2,0.15,19,0
119784,1560,1.0,2,0.36,25,0
147517,1680,1.0,4,0.45,27,0
347761,3820,4.5,4,1.4,18,1
95708,912,1.5,2,0.16,20,0
103633,1314,1.5,2,0.21,21,0
125920,1605,2.5,3,0.15,0,1
60309,2039,1.0,3,0.24,55,0
113371,1177,1.5,3,0.17,36,0
163986,2039,2.5,4,0.52,18,1
220776,2421,2.5,4,0.48,13,1
150434,1611,2.0,4,0.17,83,1
182334,2262,2.5,4,0.53,24,1
125361,1173,1.0,3,0.45,16,1
214749,2286,2.5,4,0.49,11,1
178140,2200,2.5,4,0.61,1,1
199733,840,1.0,2,0.35,50,0
103262,1176,1.5,2,0.22,31,0
126010,864,1.5,3,0.16,37,0
150798,1212,1.5,3,1.0,6,0
253433,3021,2.5,4,0.72,21,1
75094,728,1.0,2,0.06,22,0
167253,1872,2.0,3,1.55,16,1
165213,1664,3.0,3,0.99,10,0
99082,924,1.0,2,0.15,20,1
64552,1298,1.0,3,0.24,106,0
209226,2550,2.5,3,0.46,0,1
142907,1920,2.0,3,0.59,31,1
157081,2310,2.5,4,0.55,33,1
206512,2116,2.5,3,2.17,0,1
189654,1334,1.5,2,0.13,122,0
163478,2334,2.0,4,0.44,39,0
177998,2564,2.5,4,0.57,34,1
104984,1184,2.0,3,0.16,21,0
228291,1986,2.5,3,0.36,1,1
120476,2238,1.5,3,0.21,114,1
44674,1214,1.0,3,0.14,103,0
254944,2579,2.5,4,0.72,0,1
104556,1673,2.0,2,0.15,18,0
150022,1632,2.5,4,0.5,30,1
169647,1430,2.5,3,0.16,5,0
250976,2394,2.5,4,0.6,0,1
205498,3069,3.5,4,1.05,13,1
432845,3250,2.5,3,0.53,23,1
144561,1292,2.0,3,0.22,4,1
171171,1784,1.5,3,0.51,104,0
83617,1272,1.5,4,0.19,115,0
260485,2143,2.5,3,0.1,6,0
118517,1592,1.5,3,0.17,18,0
133595,1666,2.5,3,0.2,1,1
92852,912,1.5,2,0.15,20,0
129155,1242,2.0,2,0.13,3,1
232894,2500,2.5,4,0.57,0,1
138914,1576,1.5,3,0.19,18,0
210081,2008,2.5,4,0.46,19,1
108459,1292,1.5,3,0.34,25,0
169343,1796,2.5,3,0.92,14,0
79567,908,1.0,2,0.16,19,0
185323,1662,2.0,3,0.5,0,0
152466,1600,2.0,4,0.46,35,0
220765,2058,2.5,3,0.31,1,1
155855,1332,1.5,3,0.86,9,1
91792,908,1.0,2,0.16,17,0
246976,1652,1.5,3,0.05,4,1
69463,1170,1.0,2,0.09,110,0
260460,3726,2.5,4,2.31,3,1
119389,1364,1.5,2,0.07,20,1
201876,2498,2.5,4,0.43,38,1
238951,2641,3.0,4,0.39,1,1
224928,2185,2.5,3,0.74,14,1
88092,929,1.5,2,0.18,22,0
123757,1416,1.5,3,1.94,5,0
137309,1092,1.5,3,0.35,33,0
146611,1056,1.0,2,9.0,5,0
170600,1728,2.5,3,0.27,0,1
65615,924,1.0,3,3.17,39,0
236936,2300,2.5,3,0.07,16,1
51183,1144,1.0,3,0.64,15,0
294133,3981,3.0,4,0.69,0,1
247520,2445,2.5,4,0.38,18,1
188497,1742,2.5,3,0.4,5,1
116795,1404,1.5,3,0.48,28,1
129427,1512,2.0,3,0.46,16,0
119166,912,1.0,2,0.11,68,0
357138,2618,1.5,3,1.92,1,1
126498,720,1.0,3,1.0,113,0
145123,1536,2.0,3,0.98,6,0
63852,1536,1.5,4,0.46,30,1
232989,2248,2.5,4,0.58,7,1
135901,1508,1.5,3,0.34,21,0
120279,1056,1.0,2,0.34,5,0
129470,2088,1.0,3,1.84,29,1
88770,1000,1.0,3,0.52,91,0
213048,2022,2.5,3,0.48,0,1
128434,1508,1.5,3,0.31,19,1
180803,1570,2.0,3,0.92,14,1
111394,1272,1.5,3,0.34,1,0
298549,2310,3.0,2,0.25,23,1
269063,3319,2.5,3,2.0,20,0
120639,1498,1.5,2,0.18,0,1
201616,2119,2.5,4,0.76,16,1
116170,1272,1.0,3,0.26,31,0
142420,2016,1.5,3,0.86,16,0
167319,2088,2.0,3,0.9,2,1
308750,2958,2.5,4,0.92,0,1
128040,1688,1.0,3,0.03,29,1
89893,960,1.0,2,0.36,48,0
251259,1932,2.0,3,0.5,0,1
171885,1550,2.5,2,0.07,16,1
106117,1480,1.5,3,0.08,21,0
96004,912,1.5,2,0.16,18,0
263226,3355,2.5,4,0.83,1,1
93815,1184,1.5,2,0.15,19,0
188497,2110,2.5,3,1.0,9,1
277828,2988,2.5,5,0.5,9,1
159920,1794,2.0,3,0.15,37,0
97682,1548,1.5,3,0.31,85,0
118409,2128,2.0,4,1.0,7,0
236742,2412,2.5,4,0.55,10,1
130239,1586,1.5,3,0.6,49,1
162984,1872,1.5,3,0.36,18,0
261031,2280,2.5,4,0.47,24,1
176698,1772,2.5,3,0.06,14,1
330219,2576,2.5,3,0.55,31,1
114238,1164,2.0,3,0.64,7,0
93773,1324,1.5,3,0.19,5,0
152112,1512,2.5,3,0.36,18,1
89306,1480,1.5,3,0.21,19,0
111264,1142,1.5,3,0.19,18,0
109578,1176,2.0,3,0.64,5,0
130917,1456,1.0,3,0.49,23,1
154829,1440,2.0,2,0.61,66,1
303599,3329,1.5,3,0.62,14,0
265637,3030,2.5,4,0.5,1,1
287360,3133,3.0,4,0.5,1,1
150909,1374,1.5,3,0.18,44,0
26130,822,1.0,2,0.56,173,0
146981,1832,1.5,3,0.67,30,1
123827,1302,2.0,3,0.25,35,0
194880,2278,2.5,4,0.45,0,1
118952,1572,1.5,3,1.61,16,0
334556,3376,2.5,4,0.83,7,1
154432,1644,2.5,4,0.3,20,1
161923,1456,2.0,3,0.75,1,1
354739,3982,4.5,4,5.61,6,1
236819,2608,2.5,4,0.58,4,1
161923,1158,1.5,3,0.57,7,0
225885,2524,2.5,4,0.48,6,1
251400,2741,2.5,4,0.26,2,1
223266,2619,2.5,4,0.53,4,1
111702,878,1.0,2,0.14,28,0
261011,3015,2.5,4,0.46,1,1
122082,2256,1.5,4,0.17,124,0
152404,1508,2.0,3,0.33,16,1
213249,1904,2.0,2,2.0,2,1
119858,1476,1.5,3,0.22,24,1
99311,690,1.0,3,0.04,114,0
92519,1281,2.5,2,0.02,19,1
247125,2835,3.0,4,0.52,1,1
226742,1989,2.0,3,1.0,247,1
124669,1092,1.5,3,0.35,35,0
279083,1908,2.0,3,0.22,16,1
338596,1908,3.5,4,0.24,17,1
181979,1822,2.5,3,0.47,4,1
177604,2172,1.0,6,2.0,114,1
244441,2396,2.5,3,2.0,5,1
184315,2152,2.5,3,0.3,8,0
84291,1480,2.5,2,0.07,14,1
262461,2809,2.5,4,0.25,2,0
170534,1820,2.5,3,2.06,18,1
116882,1542,2.5,3,0.25,10,0
222330,2712,3.0,5,0.43,1,1
185902,2756,2.5,4,0.39,33,1
44873,882,1.5,3,0.18,71,0
109249,812,1.0,2,0.1,115,0
148231,1475,1.5,3,0.42,21,0
101375,1820,1.5,4,0.54,35,0
174208,2372,2.0,3,0.44,2,1
334556,3296,2.5,4,0.61,6,1
233876,2434,2.5,4,1.0,20,1
171171,1822,1.5,3,0.34,12,0
84291,924,1.0,3,0.91,15,0
148692,1397,1.5,2,0.76,14,1
113600,1240,2.0,3,0.16,18,0
122229,1404,2.0,3,0.68,72,0
261301,1859,1.5,3,0.14,85,0
59043,1668,1.5,4,0.06,115,0
223055,2668,2.5,4,0.3,0,1
172814,2056,1.5,4,0.42,35,1
150772,1652,2.0,3,0.48,20,1
94486,1150,1.0,3,0.34,45,0
200940,1116,2.0,3,0.24,38,0
183610,2570,2.5,5,0.6,28,1
116589,1184,2.0,3,0.16,18,0
103672,1476,2.0,3,0.66,6,0
93174,1022,1.0,3,0.44,55,0
170567,1585,1.5,3,0.95,16,1
148967,2208,2.5,3,0.05,17,1
314912,3423,2.5,4,0.38,0,1
116938,988,1.0,3,0.26,10,0
107973,1388,1.0,3,0.23,60,0
140945,1873,2.5,4,0.29,32,1
145663,1666,2.5,3,0.2,1,1
130518,1200,1.5,3,0.32,1,0
96958,1244,1.5,4,0.69,53,0
379678,3720,4.0,5,0.8,0,1
135011,1327,2.0,2,0.67,35,1
175514,2475,2.5,4,0.59,35,1
140658,2254,1.5,4,0.43,31,1
222576,3144,2.5,4,0.49,1,1
203478,2762,3.0,4,0.54,1,1
152491,1875,2.5,4,0.71,31,1
112649,1350,1.5,3,0.46,26,0
282373,2793,2.5,3,0.01,21,1
286474,2058,2.5,4,1.33,26,1
229915,2103,2.5,4,0.06,6,1
114590,1736,2.0,3,0.38,37,1
136379,1486,2.5,3,0.38,0,0
128040,1488,2.5,3,2.15,1,1
310696,2843,2.5,4,0.71,5,1
75862,995,1.0,3,0.38,47,0
99574,1628,1.5,2,0.32,30,1
124367,1272,1.5,3,0.34,1,0
167693,1876,2.5,3,0.34,1,1
149756,1470,2.5,3,0.23,11,1
155414,2310,2.5,4,0.6,38,1
144571,1512,1.5,3,0.05,13,1
326330,1326,1.0,3,2.0,52,0
206480,2310,2.5,3,1.0,18,0
130782,1274,1.5,3,0.44,14,0
135708,1460,2.0,2,0.18,17,0
237583,2762,2.5,4,0.46,17,1
104084,1302,1.5,2,0.05,17,1
126436,1216,1.0,3,0.49,51,1
112153,1834,2.0,4,0.43,65,0
136551,1880,2.0,3,0.62,7,0
143768,1612,1.5,3,0.43,37,1
155488,1747,2.5,3,0.36,1,0
77650,1620,1.5,4,0.04,99,0
106659,936,1.0,3,0.4,34,0
128440,1554,1.5,3,4.87,103,0
121279,1348,2.5,2,0.0,18,1
134266,1501,2.0,3,0.4,44,1
268260,2657,2.5,4,0.6,15,1
224818,2738,2.5,2,0.76,12,1
193565,2167,2.5,3,0.37,8,1
206931,2331,2.5,4,1.0,1,1
150909,1512,1.5,3,0.6,7,0
127740,1480,2.5,3,0.03,16,1
102806,1480,1.5,3,0.08,15,1
191790,2304,2.5,4,0.35,0,1
93846,1385,1.5,2,0.15,17,0
113796,960,1.0,3,0.36,40,0
218517,2038,2.5,3,0.98,13,1
79170,1536,2.0,3,0.15,105,0
283851,2346,2.5,4,0.54,1,0
121973,2268,1.0,3,3.0,25,0
140510,1590,2.5,3,0.42,0,1
190284,1879,2.5,3,0.27,5,1
379472,3440,4.0,5,0.77,1,1
178851,2002,2.5,4,1.03,14,1
156606,1756,1.5,3,0.85,24,1
98652,1158,1.5,3,0.86,14,0
111633,1564,1.0,3,0.32,54,1
285500,3328,2.5,4,0.35,0,1
199187,2223,2.5,4,4.34,9,0
296708,3210,2.5,3,1.0,15,1
174534,2226,2.5,4,0.43,31,1
102068,1172,2.5,3,0.85,73,1
200510,1806,2.0,4,0.8,40,0
108002,1544,2.0,3,0.4,72,0
260887,2176,2.0,3,0.0,36,1
141760,1740,1.5,3,0.53,36,0
173102,1896,1.5,3,0.42,17,1
101258,1232,1.0,3,0.72,43,1
143294,1918,2.0,3,0.3,29,1
318121,2892,3.5,4,7.76,1,1
189108,2097,2.5,3,1.93,10,1
202836,2284,1.5,3,0.28,29,1
221925,2472,2.0,4,0.62,183,0
208339,2109,2.5,2,0.26,1,0
295268,4534,2.5,6,5.08,15,1
189836,1726,2.0,3,0.06,26,1
265848,2993,2.5,4,1.34,15,1
